row_id,qid,sid,points,student_name,student_major,topic_id,topic_name,aid,assignment_name,submission_link,cid,course_name,course_dept,tid,instructor_name,instructor_dept,term
id_1,qid_1,sid_3,7,"Bynum, Justice",Chemistry,topic_id_23,Topic 23,aid_1,Assignment 1,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_2,qid_2,sid_3,1,"Bynum, Justice",Chemistry,topic_id_7,Topic 7,aid_1,Assignment 1,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_3,qid_3,sid_3,6,"Bynum, Justice",Chemistry,topic_id_20,Topic 20,aid_1,Assignment 1,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_4,qid_4,sid_3,1,"Bynum, Justice",Chemistry,topic_id_11,Topic 11,aid_1,Assignment 1,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_5,qid_5,sid_3,8,"Bynum, Justice",Chemistry,topic_id_7,Topic 7,aid_1,Assignment 1,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_6,qid_6,sid_3,10,"Bynum, Justice",Chemistry,topic_id_16,Topic 16,aid_2,Assignment 2,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_7,qid_7,sid_3,7,"Bynum, Justice",Chemistry,topic_id_9,Topic 9,aid_2,Assignment 2,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_8,qid_8,sid_3,5,"Bynum, Justice",Chemistry,topic_id_6,Topic 6,aid_2,Assignment 2,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_9,qid_9,sid_3,7,"Bynum, Justice",Chemistry,topic_id_19,Topic 19,aid_2,Assignment 2,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_10,qid_10,sid_3,7,"Bynum, Justice",Chemistry,topic_id_15,Topic 15,aid_2,Assignment 2,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_11,qid_11,sid_3,6,"Bynum, Justice",Chemistry,topic_id_14,Topic 14,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_12,qid_12,sid_3,6,"Bynum, Justice",Chemistry,topic_id_19,Topic 19,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_13,qid_13,sid_3,6,"Bynum, Justice",Chemistry,topic_id_10,Topic 10,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_14,qid_14,sid_3,10,"Bynum, Justice",Chemistry,topic_id_20,Topic 20,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_15,qid_15,sid_3,9,"Bynum, Justice",Chemistry,topic_id_24,Topic 24,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_16,qid_16,sid_3,8,"Bynum, Justice",Chemistry,topic_id_12,Topic 12,aid_3,Assignment 3,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_17,qid_17,sid_3,8,"Bynum, Justice",Chemistry,topic_id_22,Topic 22,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_18,qid_18,sid_3,9,"Bynum, Justice",Chemistry,topic_id_3,Topic 3,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_19,qid_19,sid_3,5,"Bynum, Justice",Chemistry,topic_id_20,Topic 20,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_20,qid_20,sid_3,1,"Bynum, Justice",Chemistry,topic_id_24,Topic 24,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_21,qid_21,sid_3,2,"Bynum, Justice",Chemistry,topic_id_5,Topic 5,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_22,qid_22,sid_3,2,"Bynum, Justice",Chemistry,topic_id_1,Topic 1,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_23,qid_23,sid_3,6,"Bynum, Justice",Chemistry,topic_id_23,Topic 23,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_24,qid_24,sid_3,9,"Bynum, Justice",Chemistry,topic_id_22,Topic 22,aid_4,Assignment 4,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_25,qid_25,sid_3,6,"Bynum, Justice",Chemistry,topic_id_2,Topic 2,aid_5,Assignment 5,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_26,qid_26,sid_3,3,"Bynum, Justice",Chemistry,topic_id_24,Topic 24,aid_5,Assignment 5,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_27,qid_27,sid_3,8,"Bynum, Justice",Chemistry,topic_id_18,Topic 18,aid_5,Assignment 5,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_28,qid_28,sid_3,7,"Bynum, Justice",Chemistry,topic_id_14,Topic 14,aid_5,Assignment 5,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
id_29,qid_29,sid_3,5,"Bynum, Justice",Chemistry,topic_id_7,Topic 7,aid_5,Assignment 5,raw_data_simulation_sample_file.pdf,cid_1,Machine Learning,CS,tid_5,"Cramer, Margaret",CS,Spring23
